name,artist,danceability,energy,key,acousticness,valence,tempo,loudness,speechiness,instrumentalness,liveness,duration_ms,mode,time_signature
All Shook Up,Elvis Presley,0.3882988922347955,-0.09311207174939788,1.3687985279598567,1.0980476115809708,1.6663618268596083,-1.3009174104534995,-0.3483783783783786,1.6618740704015866,-0.000755242566510172,0.23152270703472835,-1.0137700215156586,1.0,0.75
I've Got You Under My Skin - Remastered 1998,Frank Sinatra,0.21031184864899494,-0.8773026392086546,-1.1737883893914034,-0.047459848202468416,0.4116137891385821,0.37660198083495583,-0.39702702702702714,-0.16261774913237478,-0.0007395931142410015,-0.09795191451469275,-0.0863799361050138,1.0,0.75
Smoke Gets In Your Eyes,The Platters,-1.1360004041153926,-0.9482701113769131,-0.6087690744244567,1.2662689867939234,-0.8639887866055083,-0.030729131663676426,-0.44545945945945964,-0.33911750123946455,-0.000297339593114241,4.4434550311665175,-0.6641905548431964,1.0,0.75
"What'd I Say, Pt. 1 & 2",Ray Charles,0.004942182973071733,0.6626915068425553,-0.32625941694098337,0.9031244307786608,1.117192325585586,-0.8501064231434065,0.37832432432432417,0.05156172533465539,-0.0007949921752738654,0.3918076580587712,0.6377023884554365,1.0,0.75
Dream A Little Dream Of Me,Ella Fitzgerald,-0.38297829663700617,-1.1611725278816885,-1.4562980468748767,1.1968442922615938,-0.2383526459135837,-1.2382924670387394,-0.5052432432432433,0.5096678235002478,-0.0007949921752738654,0.4897595725734638,-0.4227457457675005,1.0,0.75
That'll Be The Day,Buddy Holly,-0.013312898420343708,0.5065630680723865,-0.89127873190793,-0.007407139818432044,1.1310953509342956,-0.0002868903473557457,0.1259999999999999,-0.27565691621219635,-0.0007949921752738654,-0.3045414069456811,-0.7264338339165018,1.0,0.75
Blueberry Hill,Fats Domino,-0.22781010479297514,0.01688751011140271,1.65130818544333,0.7215521527710292,1.2388437973867934,0.5725145754184731,-0.08243243243243255,-0.4184432325235498,0.0006823161189358372,0.3383793410507569,-0.74601960315563,1.0,0.5
Mack the Knife,Bobby Darin,0.046016116108256476,0.12333871836379057,-0.6087690744244567,0.7749557639497444,-0.02980726568294222,-1.0282663177493188,-0.3623243243243245,1.1859196826970748,-0.0007949921752738654,0.7836153161175422,-0.4291265511920544,0.0,0.75
All I Have to Do Is Dream,The Everly Brothers,0.014069723669779453,-0.522465278367362,-0.32625941694098337,0.8363699168052668,0.4289925708244689,-0.365182404503798,-0.5482702702702703,-0.4243926623698562,-0.0007949921752738654,0.23152270703472835,-0.8037424206202595,1.0,0.75
Sea Of Love,Phil Phillips,-1.1405641744637465,-0.5011750367168845,0.5212695555094367,1.0473141809611914,-0.5581222289339007,-0.9434267658064321,-0.3635135135135136,-0.37679722359940504,-0.0007865414710485132,0.4808548530721281,-0.7745332840718927,1.0,0.75
True Love Ways,Buddy Holly,-1.4509005581518086,-1.3137525930434444,1.3687985279598567,0.8817629863071748,-0.6832494570722856,-1.029152370511124,-1.1465405405405409,-0.2697074863658899,0.6439624413145539,1.7631344612644702,-0.5649664225327625,1.0,0.75
That's Amore,Dean Martin,-0.6020392733579915,-1.1505274070564497,1.3687985279598567,0.7749557639497444,0.36295320041809903,0.27840834798199904,-0.4831891891891894,-0.2796232027764006,-0.0007949921752738654,-0.39447907390917175,-0.3949275204833417,1.0,0.75
Johnny B. Goode,Chuck Berry,-0.10458830538742092,1.0778512190268676,1.3687985279598567,0.7162117916531577,1.7254496845916236,1.675460395417488,-0.011837837837837902,0.6901338621715419,6.259780907668214e-06,1.6651825467497772,-0.627096690065851,1.0,0.75
Jambalaya (On The Bayou),Fats Domino,0.30158725561607214,1.2446247786222748,0.23875989802596329,0.9324964169269538,1.711546659242914,-1.2634816812672127,0.028918918918918735,0.226078334159643,0.0008763693270735524,1.2021371326803205,-0.7791667572207854,0.0,0.75
I Can't Stop Loving You,Ray Charles,-1.0447249971483155,-0.7637546837394408,-0.04374975945751004,0.9218156946912108,-0.3321980670173725,-1.1345293596830046,-0.4986486486486487,-0.3450669310857709,-0.0007949921752738654,1.7809439002671414,0.19493186708104232,1.0,0.5
Wake up Little Susie,The Everly Brothers,0.7762193718448731,0.4462407167293667,-0.89127873190793,-0.40526404309985975,1.610749725464771,-0.6811867930534673,-0.047837837837837925,-0.28160634605850265,-0.0007949921752738654,-0.6714158504007123,-0.957785843131289,1.0,0.75
Beyond the Sea,Bobby Darin,-0.08176945364565161,0.0772098614544225,-0.89127873190793,0.6761590832691213,0.33514714972068016,0.6719423531896586,0.1603783783783782,-0.22409519087754085,-0.0007949921752738654,1.2377560106856633,-0.5321669962836589,0.0,0.75
Rave On,Buddy Holly,0.12360021203027159,0.7691427150949428,-1.4562980468748767,0.3770988606683167,1.6976436338942047,1.40439153978796,0.25983783783783776,-0.2915220624690133,-0.0007537402190923318,2.6625111308993765,-1.075665572772912,1.0,0.75
"Good Golly, Miss Molly",Little Richard,0.14185529342368705,1.3084955035737076,0.5212695555094367,0.29699344390024396,1.5169043043609822,1.5375526119907448,-0.20329729729729745,0.08725830441249381,0.024995305164319248,1.736420302760463,-0.9132766826766349,1.0,0.75
Unforgettable,Nat King Cole,-0.866737953562515,-1.1079469237554946,-0.04374975945751004,1.2021846533794653,-1.0238735781156667,0.659632548748859,-0.49378378378378385,-0.34110064452156663,0.09435367762128324,0.22261798753339263,-0.3627105383261252,1.0,0.5
